code,source_site,target_site,direction,network,case,role,generalization_type,task_name,variable,height_m,N,RMSE,MAE,MBE,Pearson_r,Raw_RMSE,Skill_RMSE_pct,primary_error
Code2,C039801,C039802,C039801→C039802,TCN,C4b,MOST input,cross_tower_other_time,FAIR_C039801_to_C039802_cross_tower_other_time,WS,ALL_PROFILE,29430,1.0050894282959648,0.7344705212766189,0.0564162227010339,0.9470883958144016,2.385869336792661,57.873240885558594,1.0050894282959648
Code2,C039801,C039802,C039801→C039802,TCN,C6m,MOST loss,cross_tower_other_time,FAIR_C039801_to_C039802_cross_tower_other_time,WS,ALL_PROFILE,29430,2.21567966848997,1.659123891332292,-0.4805853308512202,0.7200571245560395,2.385869336792661,7.133235071937265,2.21567966848997
Code1,C039802,C039801,C039802→C039801,CNN_LSTM,C2,Data-driven,cross_tower_other_time,C039802_to_C039801_cross_tower_other_time_WS160,WS,160.0,4905,2.7912085075792983,2.12944957700251,0.2766379185780558,0.7012237228611904,2.926802565852378,4.632839257935768,2.7912085075792983
Code1,C039802,C039801,C039802→C039801,CNN_LSTM,C4,MOST input,cross_tower_other_time,C039802_to_C039801_cross_tower_other_time_WS160,WS,160.0,4905,1.3746923276149343,1.0995665787925684,0.5424266817359596,0.9335231827302644,2.926802565852378,53.03091695853493,1.3746923276149343
Code1,C039802,C039801,C039802→C039801,CNN_LSTM,C6,MOST loss,cross_tower_other_time,C039802_to_C039801_cross_tower_other_time_WS160,WS,160.0,4905,2.6153382492003203,2.0265537683609787,0.2538877129277416,0.7156011516649987,2.926802565852378,10.641794574255812,2.6153382492003203
Code1,C039802,C039801,C039802→C039801,TCN,C2,Data-driven,cross_tower_other_time,C039802_to_C039801_cross_tower_other_time_WS160,WS,160.0,4905,3.0684620225484243,2.56065005300066,1.848170078290238,0.7275347871558829,2.926802565852378,-4.840075594740019,3.0684620225484243
Code1,C039802,C039801,C039802→C039801,TCN,C4,MOST input,cross_tower_other_time,C039802_to_C039801_cross_tower_other_time_WS160,WS,160.0,4905,1.923389257439557,1.6261210179177208,1.365775102779046,0.9233049353407208,2.926802565852378,34.283600818171195,1.923389257439557
Code1,C039802,C039801,C039802→C039801,TCN,C6,MOST loss,cross_tower_other_time,C039802_to_C039801_cross_tower_other_time_WS160,WS,160.0,4905,2.840644572312253,2.330674715678815,1.2953857571330585,0.721586847527658,2.926802565852378,2.943758302843834,2.840644572312253
Code2,C039802,C039801,C039802→C039801,CNN_LSTM,C2,Data-driven,cross_tower_other_time,FAIR_C039802_to_C039801_cross_tower_other_time,WS,ALL_PROFILE,29430,2.346785775883906,1.7764537201053978,0.0438735316777059,0.7093559281928673,2.8170450349292118,16.693352545466926,2.346785775883906
Code2,C039802,C039801,C039802→C039801,CNN_LSTM,C4b,MOST input,cross_tower_other_time,FAIR_C039802_to_C039801_cross_tower_other_time,WS,ALL_PROFILE,29430,1.12379777448439,0.8306944455478662,0.2809376368691785,0.9438017851169932,2.8170450349292118,60.10721303528504,1.12379777448439
Code2,C039802,C039801,C039802→C039801,CNN_LSTM,C6m,MOST loss,cross_tower_other_time,FAIR_C039802_to_C039801_cross_tower_other_time,WS,ALL_PROFILE,29430,2.430199020843629,1.8253443102712437,0.3800875362376133,0.742931010774099,2.8170450349292118,13.732333324067827,2.430199020843629
Code2,C039802,C039801,C039802→C039801,TCN,C2,Data-driven,cross_tower_other_time,FAIR_C039802_to_C039801_cross_tower_other_time,WS,ALL_PROFILE,29430,2.322072496703881,1.7625086128101397,-0.0409791214190066,0.7068770275208632,2.8170450349292118,17.57062922630088,2.322072496703881
Code2,C039802,C039801,C039802→C039801,TCN,C4b,MOST input,cross_tower_other_time,FAIR_C039802_to_C039801_cross_tower_other_time,WS,ALL_PROFILE,29430,0.9164318774558496,0.643473903486036,-0.1523503269463645,0.9608514773065336,2.8170450349292118,67.46832705573419,0.9164318774558496
Code2,C039802,C039801,C039802→C039801,TCN,C6m,MOST loss,cross_tower_other_time,FAIR_C039802_to_C039801_cross_tower_other_time,WS,ALL_PROFILE,29430,2.3188986023518434,1.7585449468632195,-0.0323159384638032,0.7092735495834694,2.8170450349292118,17.68329673117511,2.3188986023518434
