rec_time,tp2m,rh2m,tp4m,rh4m,tp10m,rh10m,tp30m,rh30m,prs,wspd10m,wdir10m,wspd50m,wdir50m,wspd70m,wdir70m,wspd100m,wdir100m 
2010-02-16 03:00:00,-22.097376,66.72378599999999,-21.435911000000004,66.095234,-19.448663,59.56274499999999,-19.060686999999998,60.192101,888.017588888889,nan,214.63250999999997,8.361999999999998,58.051,9.297,219.74,10.533000000000001,274.16
2010-02-16 03:10:00,-22.760392000000003,67.249798,-22.08134,66.942464,-20.144792000000002,60.85594444444444,-19.581761,61.724610000000006,887.98091,nan,212.54384999999996,8.41,57.629999999999995,9.358,219.80000000000004,10.699,273.57
2010-02-16 03:20:00,-23.042720000000003,68.655484,-22.317638,68.23079,-20.492326,61.722190999999995,-19.490116,62.33004999999999,887.7863600000001,6.377857199999999,213.38671,8.331999999999999,57.44199999999999,9.352999999999998,219.59,10.751000000000001,272.53000000000003
2010-02-16 03:30:00,-22.79204,68.787433,-22.109417,68.298079,-20.338179,61.74699,-19.33641,61.918669,887.5045399999999,6.4520794,214.07514,8.192,57.306,9.242,218.06000000000003,10.787,270.64000000000004
2010-02-16 03:40:00,-22.567027999999997,68.164419,-21.735884000000002,67.725012,-19.908111,61.366043000000005,nan,nan,887.30825,6.554217799999999,210.45292,8.0645,57.08,9.122000000000002,216.43,10.634,268.8
2010-02-16 03:50:00,-22.260878,67.55645200000001,-21.393002999999997,66.594081,-20.036184,61.084512,-19.700532000000003,61.640299000000006,887.26061,nan,211.45377,7.829299999999999,56.938,8.967,215.0,10.449,266.96000000000004
2010-02-16 04:00:00,-22.570314,66.740279,-21.903574999999996,66.136248,-20.409160999999997,nan,-19.553252,61.620053,887.1286200000001,6.2312788,215.45167777777777,7.568400000000001,56.61800000000001,8.761999999999999,213.78000000000003,nan,265.4
2010-02-16 04:10:00,-22.37713111111111,nan,-21.627256666666668,nan,-19.874854000000003,nan,-18.939011,nan,887.03009,7.1460616,215.58990999999997,7.5075,56.220000000000006,8.622,212.07000000000002,9.915,263.81
2010-02-16 04:20:00,-22.398736,65.706425,-21.657055,65.12762000000001,-19.47154,57.95178500000001,-18.617366,58.548524,886.9315300000001,6.9297917,211.21887,7.509600000000001,55.980000000000004,8.48,210.26,9.709999999999999,262.40999999999997
2010-02-16 04:30:00,-22.449707,65.63099100000002,-21.614634,64.885391,-19.940455,57.18445499999999,-18.486832999999997,58.202719,886.81849,6.2588621,211.17541,7.347699999999999,56.117,8.212,208.74,9.492,261.69
